id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at
0012bf8f-4176-4fb6-bb71-bd7cd5d2fa7f,studies.degree,premium,250,,72,13,7,name.com,,
004a60c5-0245-447f-ba57-1978b1940324,assoonaspossible.degree,available,14.99,,50,1,19,name.com,,
007a46f4-321d-40d6-a5c8-99e31bf8ce75,lightsout.degree,available,14.99,,56,12,10,name.com,,
00bc25cc-d034-433a-8b36-e90887e1a579,prettier.degree,available,14.99,,62,5,8,name.com,,
00ce4151-eac5-4ebb-9405-ff71036632b4,TwinTowers.degree,available,66.98,,66,4,11,namecheap,,
00d28da8-a665-495f-a4cd-6f1b0505d48b,publicopinion.degree,available,14.99,,70,7,14,name.com,,
00f8e02c-a2ac-4fb1-87db-d87a912f1aeb,GuptaEmpire.degree,available,66.98,,64,1,12,namecheap,,
00fc5cd5-ce7d-4f17-9fd2-ad769ddbd668,surveys.degree,available,14.99,,56,15,7,name.com,,
0107d04d-fe5e-40f9-a932-2eb69c0596c2,dogsledmail.degree,available,14.99,,94,0,12,name.com,,
010e9dcb-fc10-41be-be41-913025dbef96,getofflightly.degree,available,14.99,,70,1,15,name.com,,
0113d9c8-dde9-487d-b671-d86ef350274e,backbreaking.degree,available,14.99,,54,1,13,name.com,,
0118740a-a680-4c74-aa91-18b52b1adaf5,smashup.degree,available,14.99,,58,5,8,name.com,,
012f1d21-22b6-4558-89b4-af15aad5c51b,wannabet.degree,available,14.99,,62,6,9,name.com,,
014892e0-9229-40ee-9538-5e53c9ccfab7,economyclass.degree,available,14.99,,66,3,13,name.com,,
016fa2dd-597d-4bfa-bdf2-18c0519ac89b,longterm.degree,available,14.99,,72,10,9,name.com,,
01721aaf-1d3d-4b58-8153-4468a1ee8b50,targets.degree,available,14.99,,54,10,7,name.com,,
0182c956-d052-45a7-86a0-20659f6ebba3,comics.degree,available,14.99,,68,24,6,name.com,,
01aa7e60-af00-4f40-88b5-2d0aaa8402fb,entertheequation.degree,available,14.99,,62,0,18,name.com,,
01c36ab2-d4a7-4688-b128-b6ec010a78e9,thereandback.degree,available,14.99,,44,4,14,name.com,,
01c82568-c32c-4a5a-b2c1-469abd58edbc,makeupartist.degree,available,14.99,,76,5,13,name.com,,
01d0ed94-0760-415b-90e8-8f18ba4963fe,goviral.degree,available,14.99,,76,17,8,name.com,,
020c6cc6-9d58-477d-8dd8-7aa4e2164c6a,getthejobdone.degree,available,14.99,,74,2,16,name.com,,
024c4b17-892b-4e01-a4e7-9e68a875a3dc,deeper.degree,available,14.99,,56,19,6,name.com,,
024dc9a5-7ed4-4cd1-bfe0-e80bbeabfecf,getoutofDodge.degree,available,66.98,,62,1,16,namecheap,,
0258ce01-99cc-4feb-a7e3-1ce331b41b88,CountyofYoung.degree,available,66.98,,42,1,15,namecheap,,
02593184-8afa-4c01-8dc3-72ced73fb072,resteasy.degree,available,14.99,,79,4,9,name.com,,
025dd5d3-dec1-44f7-9061-6ab7c1c7faa3,MickeyMouse.degree,available,66.98,,86,11,12,namecheap,,
026ac43e-c1be-463a-90b8-a0ca934e153e,orderarms.degree,available,14.99,,70,1,10,name.com,,
02a7ae58-e81c-489c-b2a2-2ff0a56659d0,pardonme.degree,available,14.99,,62,4,9,name.com,,
02a86829-70b8-4199-acb0-65bddbda4ae9,railways.degree,available,14.99,,51,6,8,name.com,,
02a9160a-8383-4c6b-b75f-0b300521b4db,seton.degree,available,14.99,,72,9,6,name.com,,
02f8ba57-5c4f-4d2f-bd30-8686fdab0c0c,arrivingat.degree,available,14.99,,50,1,11,name.com,,
034d4f14-27b0-42bc-842f-2dae93d1a3fc,tonedown.degree,available,14.99,,72,1,9,name.com,,
03a5f271-c6f3-462b-af86-38c86515093f,pantihose.degree,available,14.99,,70,2,9,name.com,,
03b89d3b-ea3e-4e09-a2fb-8b01841321e6,punched.degree,available,14.99,,50,3,7,name.com,,
03cbfe4f-73ac-4c30-a02a-27b75d0ddf8c,inhouse.degree,available,14.99,,70,23,8,name.com,,
03f48ea4-0f76-446b-a710-140c5fd22d24,rubberbands.degree,available,14.99,,50,3,12,name.com,,
04218000-e3ed-4247-b3ca-db26298b9f02,yams.degree,available,14.99,,56,10,4,name.com,,
042db625-fbde-430a-8855-0e24de18ed1d,designers.degree,available,14.99,,72,15,9,name.com,,
045d6b41-6374-44ed-a47c-acebcb21144e,plans.degree,available,14.99,,60,20,5,name.com,,
048b97a5-18df-4572-a164-50b3027a1dd9,arrows.degree,available,14.99,,52,14,6,name.com,,
04905b27-7898-4a07-974a-293c89157cc3,withintent.degree,available,14.99,,54,6,11,name.com,,
049e7c21-3c6b-4aab-a85c-a0b4d17e83ee,havethefoggiest.degree,available,14.99,,54,1,17,name.com,,
04a1cd23-a084-4ce6-a4e4-5129096a3096,sellon.degree,available,14.99,,68,6,7,name.com,,
04e3f537-a53a-41a7-b13c-a77a78036a0b,amatter.degree,available,14.99,,60,2,8,name.com,,
04ed2010-0b8b-4517-aa2d-32a7fff60e0f,commonground.degree,available,14.99,,74,28,13,name.com,,
05075ebf-4a41-48bf-8645-d35101927680,murmured.degree,available,14.99,,56,2,8,name.com,,
0507680f-66bc-4d56-870b-8964c0d77dde,Tools.degree,available,66.98,,56,40,5,namecheap,,
05525f93-857f-44c3-a2b3-078049720921,newsstand.degree,available,14.99,,52,5,10,name.com,,
0552f937-19b3-4ad2-b9e0-ee7c131e7e26,gothrough.degree,available,14.99,,70,2,10,name.com,,
05705b4a-b233-4480-b1a6-f71e1a901cbc,ponds.degree,available,14.99,,52,7,5,name.com,,
05725836-0fa0-4493-84ba-516a3f4afdc1,majorityparliament.degree,available,14.99,,50,1,19,name.com,,
057546c3-3787-46a8-b734-bfe93e7fe9db,turnovers.degree,available,14.99,,50,2,9,name.com,,
0577dd3c-3759-491d-ae3c-b4e185094596,rolemodel.degree,available,14.99,,85,6,10,name.com,,
05844f51-bd58-4e37-ad98-c29b0264001c,havea.degree,available,14.99,,60,7,6,name.com,,
0586b24b-1198-4c2c-a05e-04c3094cbf2b,backsomersault.degree,available,14.99,,50,1,15,name.com,,
059c7b52-00ee-4e52-8765-0c0d7f34dbbf,movingforward.degree,available,14.99,,56,8,14,name.com,,
05da8106-bc85-4870-ac7e-2a9795b5f6e2,merchants.degree,available,14.99,,56,14,9,name.com,,
06165db3-5c33-4625-aad5-0848452274ab,strapup.degree,available,14.99,,68,1,8,name.com,,
0653feb3-5603-4700-937d-1844d9e36f9b,whitewine.degree,available,14.99,,76,6,10,name.com,,
06570a5e-b0f5-4a98-9d53-fc24dc6f579f,facilitation.degree,available,14.99,,74,12,12,name.com,,
065f7e08-2d90-4732-b973-a9c0012fbeda,propernouns.degree,available,14.99,,48,1,12,name.com,,
068a498d-00d4-40fe-a127-c9b5070c49fd,pipecleaners.degree,available,14.99,,45,1,13,name.com,,
06939a06-e51a-4b85-8b5f-d9a0575fd0c0,LordofHosts.degree,available,66.98,,54,2,13,namecheap,,
06a0261c-cc7c-45d8-bbc8-df74827ac8a7,tended.degree,available,14.99,,50,7,6,name.com,,
06c3eda7-1168-4d3f-b44e-0637c7312e1d,fundamentalscience.degree,available,14.99,,66,2,19,name.com,,
06d3b19d-7bf0-4800-865e-bc15e5baef9a,madewaves.degree,available,14.99,,54,1,10,name.com,,
06f57c21-016e-4c2f-afc4-d9fb72dca904,allsorts.degree,available,14.99,,52,5,9,name.com,,
071e05c0-a3c3-435d-a438-bc428798b2ef,macaronicheese.degree,available,14.99,,72,1,15,name.com,,
07339207-3d88-4510-a7a9-985649983640,sides.degree,available,14.99,,54,12,5,name.com,,
073d24fe-e7f9-4066-b8a2-9f7cae70a9ec,calculations.degree,available,14.99,,52,4,12,name.com,,
074b04a5-0ad5-48bb-81fe-0d8fc9760608,puddings.degree,available,14.99,,57,2,8,name.com,,
0751563d-0a57-4678-b9eb-749c6c79c0f8,getunder.degree,available,14.99,,54,1,9,name.com,,
077be6f7-88a2-4631-99e6-9d0689307be7,officedesk.degree,available,14.99,,55,5,11,name.com,,
077f4f61-89db-4f75-88a6-daa5e795601b,softenup.degree,available,14.99,,68,1,9,name.com,,
07b4e106-ccae-40f2-95ba-5aaf01421d28,Ihavecancer.degree,available,66.98,,44,2,13,namecheap,,
07bfa8ae-08f2-45bc-a6d1-959670235f46,reaches.degree,available,14.99,,70,5,7,name.com,,
07cf9ef3-d342-4b81-b7e7-f1a2d62065d9,believes.degree,available,14.99,,64,4,8,name.com,,
07e42167-403c-4f7b-a1b9-72692997df15,houses.degree,available,14.99,,66,18,6,name.com,,
07f481a6-a902-4b1e-aaf0-4df4c56b1d6f,getoveron.degree,available,14.99,,72,1,11,name.com,,
084a0d26-1bbb-4da8-9eeb-f2701630c970,goape.degree,available,14.99,,76,5,6,name.com,,
084f9b7a-4d16-42a7-ba4f-8c3a64daf39e,visitors.degree,available,14.99,,62,10,8,name.com,,
087a786d-7b7d-4d45-a174-29cf50c75ba6,rented.degree,available,14.99,,54,8,6,name.com,,
08803912-f54c-4261-be12-cae03b04c192,Iswear.degree,available,66.98,,58,2,7,namecheap,,
08a2df34-e6da-45f4-a118-bda7e8419447,rekt.degree,available,14.99,,40,24,4,name.com,,
08aa8bc7-8a89-4fb9-9c91-e9f09e0589aa,lordover.degree,available,14.99,,72,1,9,name.com,,
08b9dad5-fb9d-4d8a-b93b-7b6dbfd408c7,beans.degree,available,14.99,,74,20,5,name.com,,
08ce6c5b-ad85-45a6-9802-00b42d84a1a4,mouths.degree,available,14.99,,49,3,6,name.com,,
08e6c423-0dce-4f4f-97c8-5a8c86814984,inthedock.degree,available,14.99,,50,1,11,name.com,,
0914713d-4832-46fe-a891-09cb1ec998b3,cousins.degree,available,14.99,,68,11,7,name.com,,
0969bfa3-a147-4ec4-abd2-52b297956a17,onstage.degree,available,14.99,,64,14,8,name.com,,
096d270c-9e9c-4fd2-a09e-ae2394c8e786,filledin.degree,available,14.99,,52,2,9,name.com,,
096fcf4b-3ea4-4eb9-901d-c55f8b6e915f,pizzajoint.degree,available,14.99,,56,2,11,name.com,,
09c97806-9a4f-45fd-9a55-9557f8a49d08,gostrong.degree,available,14.99,,74,4,9,name.com,,
0a059a54-866d-4240-a165-a06e9da16957,makestrides.degree,available,14.99,,78,1,12,name.com,,
0a06dbb7-6a1c-450a-a551-623ae1078376,posters.degree,available,14.99,,60,13,7,name.com,,
0a0be070-8772-46ff-8d9e-9df5f9410ec9,smashit.degree,available,14.99,,72,8,8,name.com,,
0a0c19e2-a1f6-4fb2-abd0-063c750eba07,playarole.degree,available,14.99,,68,1,11,name.com,,
0a0d6c8e-9f39-42c1-ac89-3e6b76e5bd09,rumcake.degree,available,14.99,,81,3,8,name.com,,
0a24076d-3d9a-4d4a-b5f9-6d4a331b9f0e,divein.degree,available,14.99,,76,9,7,name.com,,
0a7fcadb-d713-433b-9962-ab5d4a24af85,getovertheline.degree,available,14.99,,69,1,17,name.com,,
0a8c5900-297e-4205-865c-2e6a21834645,quartertone.degree,available,14.99,,70,3,12,name.com,,
0aa32b1a-281e-40ec-933f-40f1905ffea2,CountyofJefferson.degree,available,14.99,,44,0,19,name.com,,
0adb418a-3e32-4dd0-815e-710cc9eb56ea,drapes.degree,available,14.99,,76,5,6,name.com,,
0ae06811-93e0-47b9-958d-869ab6388f40,companies.degree,available,14.99,,62,16,9,name.com,,
0ae6e1af-4e2e-4bc2-84c6-7dfa07f2c3ca,asusual.degree,available,14.99,,58,3,8,name.com,,
0af7fa72-ba48-4363-bb46-65df6c3efb13,yards.degree,available,14.99,,66,9,5,name.com,,
0afcba56-ab91-4107-8803-6c96652a56fd,barbecuedpork.degree,available,14.99,,58,0,14,name.com,,
0b1b5d4b-4f9a-44cd-88d8-966a94a642f9,gettothebottomof.degree,available,14.99,,66,1,20,name.com,,
0b371b3a-a878-483f-844e-3248a0d1967c,rollover.degree,available,14.99,,75,8,9,name.com,,
0b63f0bf-3f11-4842-b053-3dc8645ba7bb,gods.degree,available,14.99,,72,27,4,name.com,,
0bbfc209-1d52-4b94-a003-4da120169750,gettogether.degree,available,14.99,,82,8,12,name.com,,
0bce05ea-bb61-4396-a81c-327125d482ef,computers.degree,premium,75,,68,19,9,name.com,,
0bedce79-85b3-4586-9c2e-a622e418a087,specialness.degree,available,14.99,,70,1,11,name.com,,
0bf12201-2306-4e04-8064-44d0dbbb9f16,gobeyond.degree,available,14.99,,76,18,9,name.com,,
0c2d7ce3-ef45-4508-a60e-3c0871354a15,smarts.degree,available,14.99,,67,16,6,name.com,,
0c55ac00-3064-4069-b89d-f74eb8e89144,ingredients.degree,available,14.99,,56,14,11,name.com,,
0c7112b2-5e7b-492a-a7d1-6df35cf6983f,commonheather.degree,available,14.99,,64,1,14,name.com,,
0c9f7db5-64b9-4533-b762-4de6f868155a,beonto.degree,available,14.99,,74,1,8,name.com,,
0cd286be-ad05-4c16-b4f2-ded668d8c8e4,contacts.degree,available,14.99,,54,20,8,name.com,,
0d5757eb-72cb-445b-9a37-3e7eabaf044e,StGeorges.degree,available,66.98,,54,6,10,namecheap,,
0d974a2f-1d10-4279-805f-6eb9c442c72a,costbenefit.degree,available,14.99,,52,3,12,name.com,,
0d98e672-753b-4d46-9607-0c87f43f1d39,BonfireNight.degree,available,66.98,,64,1,13,namecheap,,
0db48845-cc34-48a3-9fe8-a689af1ce1ed,sisters.degree,available,14.99,,63,15,7,name.com,,
0dfc76cf-5107-4bb1-9a27-df4c26145bab,cheeseontoast.degree,available,14.99,,64,1,15,name.com,,
0e0b8f5a-be7a-4940-a827-04c1fe251b36,intheeventof.degree,available,14.99,,46,2,15,name.com,,
0e27ac24-bff0-4a4f-bb46-8bcaf0c888bf,keypresses.degree,available,14.99,,54,0,11,name.com,,
0e39c450-b2b7-458a-82c0-f4b4da66548b,opens.degree,available,14.99,,60,11,5,name.com,,
0e71386f-79f7-4c36-b41a-fb86e991cc9d,tickets.degree,available,14.99,,64,34,7,name.com,,
0e7277ce-3d46-45fe-871c-35ef1aa4e08c,coffeedout.degree,available,14.99,,76,1,11,name.com,,
0e80ab8d-4361-4db5-bb90-877a93a265b9,researchers.degree,available,14.99,,50,8,11,name.com,,
0e8a207c-c516-4392-94d2-eb66d57e5a4b,pickupline.degree,available,14.99,,76,2,12,name.com,,
0e99d9bf-08ba-46f0-9a58-86602b9a7d9d,getittogether.degree,available,14.99,,75,3,15,name.com,,
0ebab358-b8e2-4293-8249-893c4405e202,standardscore.degree,available,14.99,,42,1,14,name.com,,
0ec16770-7c4f-4f94-93bc-917d7e325694,cells.degree,available,14.99,,61,13,5,name.com,,
0ed6255f-6088-4101-9318-fc5f1d0d264c,refreshment.degree,available,14.99,,74,4,11,name.com,,
0f01b8ff-0867-4d63-aa7b-c4e9f12e998e,instyle.degree,available,14.99,,78,12,8,name.com,,
0f426def-e94f-4a6e-bf25-10307f794199,matches.degree,available,14.99,,64,13,7,name.com,,
0f4a36a5-98b0-4996-8295-8b458aae58a1,entered.degree,available,14.99,,50,4,7,name.com,,
0f4e9c0a-a48a-449c-ab69-fbf229e9c708,smashinto.degree,available,14.99,,38,0,10,name.com,,
0f7964fe-2805-43ae-a455-85ec2d5757a0,longfor.degree,available,14.99,,70,3,8,name.com,,
0f8b8c8a-3f52-4718-8ef3-1421f631106a,Catholics.degree,available,14.99,,58,8,9,name.com,,
0fa7f3ec-f3d9-442d-99a4-018cd145e794,CountyofRiley.degree,available,14.99,,42,1,15,name.com,,
0ffa148f-b258-4376-b77e-eb9032b061db,shortest.degree,available,14.99,,54,6,8,name.com,,
1006786d-54bf-4c57-a6cc-7adae01b42c4,gears.degree,available,14.99,,54,12,5,name.com,,
10252712-b1ef-4823-a307-37373e3fc26d,managed.degree,available,14.99,,58,20,7,name.com,,
10295b86-82d5-4e8e-98a0-dd1b157e8b40,highschoolstudent.degree,available,14.99,,55,0,19,name.com,,
102ef06b-79b1-4f9b-b204-0100ed437fba,wonders.degree,available,14.99,,62,16,7,name.com,,
10376468-0a5f-4c94-8fbb-b83262b77932,backstretch.degree,available,14.99,,74,3,12,name.com,,
103e53aa-5bec-4ea9-8b4b-04a330248386,keepin.degree,available,14.99,,72,6,7,name.com,,
1040d1e1-8e52-470b-877b-ea7e34880329,eachtohisown.degree,available,14.99,,46,0,15,name.com,,
106f80c2-7347-4924-afa4-73ac67401210,waitforit.degree,available,14.99,,43,4,11,name.com,,
109365fa-85ef-47f9-87f4-b72b602ed032,trios.degree,available,14.99,,50,9,5,name.com,,
10fe091b-d8fa-429d-bf1a-ff74dac01a66,inyourdreams.degree,available,14.99,,40,3,14,name.com,,
11050e82-ccb4-46e6-b3b0-b5832cdf9ff3,hammerout.degree,available,14.99,,70,1,10,name.com,,
115c01d8-7f21-419b-a27e-a478889cdb8b,getonwithit.degree,available,14.99,,51,4,14,name.com,,
116dac4b-d89c-41cb-a3c8-7b2382c642c2,DistrictofColumbia.degree,premium,280,280,52,4,20,namecheap,,
11899ab5-085f-4a0d-be29-790794893253,costcontainment.degree,available,14.99,,42,2,16,name.com,,
11997355-482e-4ae6-af99-b49ac9fb1817,businessstudies.degree,available,14.99,,70,2,16,name.com,,
11bff89b-ac1a-4f97-a66f-9418c7e8cb49,thefixisin.degree,available,14.99,,38,1,13,name.com,,
11cfe0f7-be12-4d71-a076-8286006f5fc0,tastes.degree,available,14.99,,52,6,6,name.com,,
11e379ef-0af2-45db-b394-f1b8aa75d71b,SwedishEmpire.degree,available,66.98,,58,1,14,namecheap,,
11ee2d60-42a6-4185-a31a-ed654b2de2e5,chickenfriedsteak.degree,available,14.99,,72,1,19,name.com,,
11fc1ff9-c759-4d91-902e-890c743d5f36,thanksaton.degree,available,14.99,,62,1,12,name.com,,
120e8dad-488a-45ff-9f0a-c82a7838d2e6,gettingsome.degree,available,14.99,,54,1,12,name.com,,
1211c2e6-c646-4bda-99fa-2e5265f2f2db,coffeewoman.degree,available,14.99,,80,2,11,name.com,,
12694eef-6f8c-46d8-bbe2-9d2d1ad24468,recaptured.degree,available,14.99,,48,2,10,name.com,,
12970bd8-a1a5-41f7-a6a6-d72ec5bb965d,corrections.degree,available,14.99,,68,6,11,name.com,,
12cb9f9d-b906-493d-a4e1-9de1bc60a81f,coffeeberry.degree,available,14.99,,80,4,12,name.com,,
130f6182-1cd9-4c08-94a0-574cdad7b055,affections.degree,available,14.99,,62,2,10,name.com,,
135963d2-8c1e-4878-9886-86d7b17114d5,shells.degree,available,14.99,,58,9,6,name.com,,
135bb85f-1ed4-4322-8b35-a9fefc0f9cf2,congregational.degree,available,14.99,,56,2,14,name.com,,
1361a579-9b79-4165-a2f9-fa04ade63c8a,inthewayof.degree,available,14.99,,44,0,13,name.com,,
136f33b4-c5a9-4228-89cc-87cf799f35a6,gonewiththewind.degree,available,14.99,,40,4,18,name.com,,
13bdcf01-344f-4015-a3bc-47bba6df4d4b,bolts.degree,available,14.99,,50,11,5,name.com,,
13be4ee8-8a2a-450c-b2be-8db873c8a8f7,publicoffice.degree,available,14.99,,69,2,13,name.com,,
13cd0a79-107c-46ef-9a8d-11559507d4ef,makeoneselfathome.degree,available,14.99,,72,1,20,name.com,,
13d5e63b-c039-4a6d-9efd-96b0e68803bd,throws.degree,available,14.99,,52,5,6,name.com,,
13f8b651-0389-4075-aaa1-a127d92f84ef,scissored.degree,available,14.99,,64,1,9,name.com,,
13fb3796-c599-492a-b98a-ef38ae7f28a0,lordmayor.degree,available,14.99,,76,1,10,name.com,,
14102123-21c6-46fd-95d0-37f0f63d82e1,lunchmaking.degree,available,14.99,,78,1,11,name.com,,
141312dc-b3b7-45ee-92e6-a22cf200106b,officeroutine.degree,available,14.99,,43,0,14,name.com,,
14219954-5418-4a41-a443-2ee4c59f073c,makethecut.degree,available,14.99,,78,3,12,name.com,,
14303257-bb82-4a7b-a635-9f61661dbccd,slips.degree,available,14.99,,70,10,5,name.com,,
145adf61-2bab-420d-85da-2709645b8cd5,AlcoholicsAnonymous.degree,available,66.98,,52,4,20,namecheap,,
14644422-ddbd-4cfc-91cd-498aaa29ae5a,proxybattle.degree,available,14.99,,44,1,12,name.com,,
14b0ce99-8e69-437f-b805-a86ad5ded6ec,getwet.degree,available,14.99,,74,5,7,name.com,,
14dc350e-9b90-4c4b-a5ea-cf42b622d350,gearup.degree,available,14.99,,80,16,7,name.com,,
14f916fb-6b14-4f98-be12-65a4ae7cf1b0,bases.degree,available,14.99,,54,9,5,name.com,,
15237f85-c0d5-4413-a49d-a396c0c06937,gettosecondbase.degree,available,14.99,,47,1,18,name.com,,
153363ca-1411-4630-8ee4-6c38440a4e75,useto.degree,available,14.99,,72,2,6,name.com,,
155cc87c-dfec-42ec-9421-3a87eed1c14e,shadows.degree,available,14.99,,54,16,7,name.com,,
15920480-3d3e-4d75-bcc9-30204ecf0432,missionimpossible.degree,available,14.99,,68,5,18,name.com,,
